epoch,loss,test_loss,accuracy,duration
0,87.07678192853928,86.61595982313156,54.507103021780466,3304.647654771805
1,86.66989493370056,86.41754567623138,55.07518496620272,6608.3720445632935
2,86.47890448570251,86.40728008747101,55.27173652503236,9909.85199213028
3,86.38761281967163,86.13597816228867,55.49065980600521,13213.307988643646
4,86.24569720029831,85.93366473913193,56.441457997091675,16517.222388505936
5,86.13473695516586,85.70546299219131,56.8353601048275,19818.929717063904
6,85.94168990850449,85.5422483086586,57.23245817286949,23114.08114695549
7,85.85009980201721,85.18390029668808,57.349110724044806,26413.23157477379
8,85.56381523609161,84.8058522939682,58.234391728854725,29704.1077978611
9,85.28108233213425,84.49234580993652,58.784096901516484,33002.76792430878
10,84.91544711589813,84.11672097444534,59.02139695424983,36301.10876441002
11,84.37498468160629,83.30974185466766,60.22547499960051,39600.396681308746
