epoch,loss,test_loss,accuracy,duration
0,519.6960687637329,520.5161875486374,51.82666666666667,127.23111867904663
1,518.4995396137238,515.6787242293358,55.82666666666667,253.61621499061584
2,516.5225094556808,513.3560876846313,56.24,379.3682641983032
3,514.6176676154137,511.5826738476753,55.57333333333333,504.9116008281708
4,513.2951333522797,506.88599014282227,57.18666666666667,630.4647786617279
5,511.3202813267708,511.13826897740364,55.373333333333335,755.5454053878784
6,511.36386424303055,502.64092457294464,58.42666666666667,881.918206691742
7,509.89154410362244,499.90777105093,58.6,1007.6490116119385
8,508.2771750688553,503.4013806581497,58.013333333333335,1132.9607872962952
9,506.5493049621582,499.2338019013405,59.21333333333333,1258.7894070148468
10,506.7956807613373,496.38199734687805,59.8,1384.5287945270538
11,506.042374253273,497.4481698870659,59.2,1510.0567195415497
12,505.16821601986885,502.94842004776,56.12,1635.3209936618805
13,503.29101714491844,490.1485523879528,62.96,1760.8686826229095
14,500.93200874328613,485.1313075721264,62.093333333333334,1886.0561692714691
15,500.0312272310257,483.042018443346,63.10666666666667,2010.877902507782
16,497.20343831181526,483.94161400198936,64.05333333333333,2137.543387413025
17,492.19556015729904,471.85476219654083,64.48,2262.052351474762
18,488.34626030921936,475.4556395113468,63.36,2386.3312854766846
19,488.46502393484116,471.07080882787704,65.48,2511.931925058365
20,486.4501787722111,463.725189268589,65.16,2637.302154302597
21,482.3107336759567,456.5981523990631,66.44,2762.0651648044586
22,480.3550081849098,451.15073442459106,67.94666666666667,2886.642387866974
23,475.30475202202797,452.95298433303833,67.66666666666667,3012.730530500412
24,473.3375049829483,449.6914452314377,67.41333333333333,3139.002627849579
25,472.0665666460991,441.56731021404266,68.93333333333334,3265.3310079574585
26,465.07209780812263,431.3099051117897,69.18666666666667,3392.1291122436523
27,467.4333039522171,426.21445950865746,70.54666666666667,3518.4756639003754
28,462.3570133447647,420.1027408540249,71.28,3644.585783958435
29,456.21345031261444,416.0514447391033,72.28,3771.076642036438
30,454.4703866839409,417.0090746283531,71.90666666666667,3896.9078216552734
31,453.29336500167847,408.42676593363285,71.68,4022.6312725543976
32,447.04171776771545,404.84604263305664,72.97333333333333,4147.399925231934
